Customer ID,Age,Gender,Loyalty Member,Product Type,SKU,Rating,Order Status,Payment Method,Total Price,Unit Price,Quantity,Shipping Type,Add-on Total,Total Transaction
1020,57,Female,No,Smartwatch,SKU1003,3,Cancelled,Debit Card,3379.32,844.83,4,Express,37.13,3416.4500000000003
1021,71,Female,Yes,Smartwatch,SKU1003,3,Completed,Cash,844.83,844.83,1,Overnight,49.54,894.37
1022,76,Female,No,Smartwatch,SKU1003,3,Cancelled,PayPal,6758.64,844.83,8,Overnight,73.49,6832.13
1024,49,Female,No,Smartphone,SKU1004,2,Completed,Cash,1582.38,791.19,2,Overnight,51.93,1634.3100000000002
1025,77,Male,No,Laptop,SKU1005,3,Completed,Debit Card,2783.76,463.96,6,Overnight,0.0,2783.76
1025,77,Male,No,Smartphone,SKU1001,5,Completed,Cash,83.0,20.75,4,Express,77.78,160.78
1027,22,Male,No,Smartphone,SKU1004,2,Completed,PayPal,4747.14,791.19,6,Overnight,0.0,4747.14
1028,79,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,6758.64,844.83,8,Overnight,0.0,6758.64
1030,69,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,4224.15,844.83,5,Express,46.03,4270.179999999999
1031,20,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,5913.81,844.83,7,Express,0.0,5913.81
1031,20,Female,No,Smartphone,SKU1001,5,Completed,Debit Card,103.75,20.75,5,Overnight,17.79,121.53999999999999
1033,54,Female,No,Tablet,SKU1002,3,Completed,Debit Card,988.12,247.03,4,Overnight,0.0,988.12
1033,54,Female,No,Smartphone,SKU1004,2,Completed,Debit Card,3164.76,791.19,4,Standard,49.24,3214.0
1035,32,Female,No,Smartphone,SKU1001,5,Completed,Cash,186.75,20.75,9,Standard,0.0,186.75
1035,32,Female,Yes,Smartphone,SKU1001,5,Completed,Cash,62.25,20.75,3,Standard,33.56,95.81
1036,60,Male,Yes,Smartphone,SKU1004,2,Cancelled,Debit Card,3955.95,791.19,5,Standard,56.62,4012.5699999999997
1036,60,Male,Yes,Smartphone,SKU1004,2,Cancelled,PayPal,791.19,791.19,1,Express,0.0,791.19
1038,56,Female,No,Smartwatch,SKU1003,3,Completed,PayPal,4224.15,844.83,5,Overnight,10.0,4234.15
1038,56,Female,Yes,Smartwatch,SKU1003,3,Completed,Cash,5068.98,844.83,6,Standard,0.0,5068.98
1038,56,Female,No,Smartphone,SKU1001,5,Completed,Debit Card,145.25,20.75,7,Express,47.94,193.19
1038,56,Female,No,Smartphone,SKU1004,2,Completed,Debit Card,5538.33,791.19,7,Overnight,26.01,5564.34
1039,53,Female,No,Tablet,SKU1002,3,Completed,Credit Card,1729.21,247.03,7,Standard,0.0,1729.21
1040,45,Female,Yes,Smartphone,SKU1004,2,Completed,Credit Card,6329.52,791.19,8,Standard,92.79,6422.31
1042,65,Female,No,Smartphone,SKU1001,5,Cancelled,Credit Card,145.25,20.75,7,Overnight,53.02,198.27
1042,65,Female,No,Smartwatch,SKU1003,3,Completed,Cash,5913.81,844.83,7,Overnight,111.25,6025.06
1043,76,Male,No,Smartphone,SKU1001,5,Completed,Debit Card,207.5,20.75,10,Overnight,0.0,207.5
1047,73,Male,No,Tablet,SKU1002,3,Completed,Debit Card,2470.3,247.03,10,Express,63.23,2533.53
1048,67,Female,No,Tablet,SKU1002,3,Cancelled,Debit Card,2470.3,247.03,10,Express,0.0,2470.3
1049,50,Female,No,Smartphone,SKU1001,5,Completed,PayPal,145.25,20.75,7,Standard,86.36,231.61
1052,72,Male,No,Smartwatch,SKU1003,3,Cancelled,Cash,5068.98,844.83,6,Standard,45.46,5114.44
1053,79,Female,No,Laptop,SKU1005,3,Completed,Debit Card,4175.64,463.96,9,Standard,88.3,4263.9400000000005
1054,30,Female,Yes,Smartphone,SKU1001,5,Completed,PayPal,62.25,20.75,3,Standard,79.9,142.15
1056,24,Female,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,Overnight,41.24,1897.08
1057,71,Female,No,Smartwatch,SKU1003,3,Cancelled,PayPal,7603.47,844.83,9,Express,0.0,7603.47
1057,71,Female,No,Tablet,SKU1002,3,Cancelled,Debit Card,1482.18,247.03,6,Express,116.77,1598.95
1058,21,Female,No,Smartphone,SKU1001,5,Completed,PayPal,166.0,20.75,8,Overnight,92.57,258.57
1058,21,Female,No,Smartphone,SKU1004,2,Cancelled,Credit Card,3955.95,791.19,5,Express,0.0,3955.95
1059,37,Male,No,Laptop,SKU1005,3,Completed,PayPal,3247.72,463.96,7,Overnight,66.17,3313.89
1059,37,Male,No,Laptop,SKU1005,3,Completed,Debit Card,463.96,463.96,1,Express,5.52,469.47999999999996
1060,72,Male,Yes,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,Standard,52.01,1907.85
1060,72,Male,Yes,Tablet,SKU1002,3,Completed,PayPal,1482.18,247.03,6,Overnight,31.89,1514.0700000000002
1060,72,Male,No,Smartphone,SKU1004,2,Completed,PayPal,1582.38,791.19,2,Overnight,49.59,1631.97
1061,56,Male,Yes,Tablet,SKU1002,3,Completed,Cash,1976.24,247.03,8,Standard,14.49,1990.73
1061,56,Male,No,Laptop,SKU1005,3,Completed,PayPal,463.96,463.96,1,Express,83.41,547.37
1062,62,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,6329.52,791.19,8,Standard,26.24,6355.76
1063,64,Male,Yes,Laptop,SKU1005,3,Completed,PayPal,1855.84,463.96,4,Standard,0.0,1855.84
1063,64,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,2373.57,791.19,3,Express,6.47,2380.04
1066,44,Female,No,Smartphone,SKU1004,2,Cancelled,PayPal,2373.57,791.19,3,Standard,43.16,2416.73
1066,44,Female,No,Smartphone,SKU1004,2,Completed,Credit Card,2373.57,791.19,3,Overnight,40.68,2414.25
1067,49,Male,No,Tablet,SKU1002,3,Cancelled,PayPal,1729.21,247.03,7,Standard,0.0,1729.21
1067,49,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,1689.66,844.83,2,Standard,81.55,1771.21
1069,27,Male,No,Smartphone,SKU1001,5,Completed,Cash,145.25,20.75,7,Standard,96.61,241.86
1070,30,Male,No,Smartphone,SKU1001,5,Cancelled,PayPal,62.25,20.75,3,Standard,6.3,68.55
1071,54,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,7603.47,844.83,9,Overnight,0.0,7603.47
1073,46,Female,No,Tablet,SKU1002,3,Completed,Cash,2223.27,247.03,9,Standard,8.66,2231.93
1073,46,Female,Yes,Tablet,SKU1002,3,Completed,Credit Card,1976.24,247.03,8,Express,46.38,2022.6200000000001
1074,58,Male,No,Smartwatch,SKU1003,3,Completed,Cash,7603.47,844.83,9,Standard,58.95,7662.42
1077,26,Male,No,Smartphone,SKU1004,2,Completed,Cash,2373.57,791.19,3,Express,12.28,2385.8500000000004
1077,26,Male,No,Tablet,SKU1002,3,Completed,Cash,1482.18,247.03,6,Overnight,12.86,1495.04
1079,64,Male,No,Smartphone,SKU1001,5,Completed,PayPal,41.5,20.75,2,Standard,25.61,67.11
1079,64,Male,Yes,Smartphone,SKU1004,2,Completed,PayPal,3164.76,791.19,4,Overnight,8.16,3172.92
1079,64,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,2373.57,791.19,3,Overnight,101.06,2474.63
1080,55,Female,No,Smartphone,SKU1004,2,Cancelled,PayPal,3164.76,791.19,4,Standard,0.0,3164.76
1080,55,Female,No,Tablet,SKU1002,3,Completed,Credit Card,247.03,247.03,1,Express,16.65,263.68
1083,24,Male,No,Smartwatch,SKU1003,3,Completed,Credit Card,3379.32,844.83,4,Overnight,0.0,3379.32
1085,74,Male,No,Smartphone,SKU1001,5,Completed,Cash,20.75,20.75,1,Express,91.36,112.11
1085,74,Male,No,Tablet,SKU1002,3,Completed,Cash,741.09,247.03,3,Overnight,10.04,751.13
1086,76,Male,No,Smartphone,SKU1001,5,Completed,PayPal,166.0,20.75,8,Overnight,25.72,191.72
1089,45,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,3955.95,791.19,5,Express,0.0,3955.95
1090,31,Male,No,Tablet,SKU1002,3,Cancelled,Debit Card,741.09,247.03,3,Express,22.88,763.97
1091,22,Male,Yes,Smartwatch,SKU1003,3,Cancelled,Credit Card,1689.66,844.83,2,Express,14.52,1704.18
1093,56,Female,No,Smartphone,SKU1004,2,Completed,Credit Card,7120.71,791.19,9,Express,29.11,7149.82
1094,65,Male,No,Smartphone,SKU1001,5,Completed,Debit Card,20.75,20.75,1,Overnight,0.0,20.75
1096,20,Female,Yes,Smartphone,SKU1001,5,Completed,PayPal,41.5,20.75,2,Standard,27.89,69.39
1096,20,Female,No,Laptop,SKU1005,3,Completed,Cash,4639.6,463.96,10,Overnight,85.32,4724.92
1097,19,Male,No,Tablet,SKU1002,3,Completed,PayPal,988.12,247.03,4,Express,51.12,1039.24
1099,68,Female,No,Smartphone,SKU1004,2,Cancelled,Credit Card,1582.38,791.19,2,Standard,100.12,1682.5
1099,68,Female,No,Laptop,SKU1005,3,Cancelled,PayPal,1391.88,463.96,3,Overnight,0.0,1391.88
1100,63,Female,Yes,Tablet,SKU1002,3,Completed,Credit Card,741.09,247.03,3,Express,35.79,776.88
1100,63,Female,Yes,Smartwatch,SKU1003,3,Completed,Credit Card,3379.32,844.83,4,Overnight,48.78,3428.1000000000004
1101,33,Female,Yes,Smartphone,SKU1001,5,Completed,Cash,207.5,20.75,10,Standard,88.38,295.88
1101,33,Female,No,Smartphone,SKU1004,2,Cancelled,Credit Card,791.19,791.19,1,Overnight,32.35,823.5400000000001
1101,33,Female,No,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,Overnight,125.35,166.85
1101,33,Female,No,Smartphone,SKU1001,5,Completed,PayPal,62.25,20.75,3,Express,77.61,139.86
1102,55,Male,No,Smartphone,SKU1001,5,Cancelled,PayPal,166.0,20.75,8,Express,0.0,166.0
1105,42,Female,No,Tablet,SKU1002,3,Completed,Debit Card,1482.18,247.03,6,Overnight,102.0,1584.18
1109,37,Female,No,Laptop,SKU1005,3,Cancelled,Debit Card,1855.84,463.96,4,Overnight,104.93,1960.77
1109,37,Female,Yes,Smartphone,SKU1001,5,Completed,Debit Card,186.75,20.75,9,Overnight,42.66,229.41
1110,76,Male,No,Smartphone,SKU1001,5,Completed,Credit Card,207.5,20.75,10,Express,0.0,207.5
1112,58,Female,No,Tablet,SKU1002,3,Completed,PayPal,2223.27,247.03,9,Overnight,63.79,2287.06
1112,58,Female,No,Tablet,SKU1002,3,Completed,PayPal,2223.27,247.03,9,Express,48.57,2271.84
1114,25,Female,No,Smartphone,SKU1004,2,Completed,PayPal,4747.14,791.19,6,Overnight,71.97,4819.110000000001
1115,31,Female,No,Smartphone,SKU1004,2,Cancelled,Cash,791.19,791.19,1,Overnight,53.95,845.1400000000001
1115,31,Female,Yes,Smartwatch,SKU1003,3,Completed,PayPal,844.83,844.83,1,Overnight,0.0,844.83
1115,31,Female,No,Tablet,SKU1002,3,Completed,Debit Card,247.03,247.03,1,Standard,0.0,247.03
1116,55,Female,No,Laptop,SKU1005,3,Cancelled,PayPal,4175.64,463.96,9,Overnight,15.85,4191.490000000001
1116,55,Female,No,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,Express,0.0,4175.64
1117,34,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,1689.66,844.83,2,Overnight,48.25,1737.91
1119,24,Male,No,Tablet,SKU1002,3,Completed,Credit Card,1482.18,247.03,6,Standard,65.34,1547.52
1120,40,Female,Yes,Smartphone,SKU1001,5,Completed,Debit Card,186.75,20.75,9,Express,48.52,235.27
1120,40,Female,No,Smartphone,SKU1001,5,Cancelled,Credit Card,103.75,20.75,5,Express,0.0,103.75
1122,69,Male,Yes,Smartphone,SKU1004,2,Cancelled,PayPal,5538.33,791.19,7,Express,0.0,5538.33
1123,79,Male,Yes,Smartwatch,SKU1003,3,Cancelled,Credit Card,6758.64,844.83,8,Overnight,54.15,6812.79
1123,79,Male,Yes,Smartphone,SKU1004,2,Completed,Debit Card,791.19,791.19,1,Standard,5.86,797.0500000000001
1124,24,Female,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,Overnight,0.0,1855.84
1124,24,Female,Yes,Laptop,SKU1005,3,Completed,Debit Card,3711.68,463.96,8,Standard,85.04,3796.72
1124,24,Female,No,Smartphone,SKU1004,2,Completed,PayPal,3164.76,791.19,4,Overnight,104.82,3269.5800000000004
1125,46,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,5913.81,844.83,7,Express,0.0,5913.81
1125,46,Male,No,Laptop,SKU1005,3,Completed,Cash,3711.68,463.96,8,Standard,67.21,3778.89
1127,80,Male,No,Smartwatch,SKU1003,3,Completed,PayPal,6758.64,844.83,8,Express,65.02,6823.660000000001
1127,80,Male,No,Smartphone,SKU1001,5,Cancelled,PayPal,166.0,20.75,8,Express,63.03,229.03
1129,36,Female,Yes,Smartphone,SKU1001,5,Cancelled,Cash,20.75,20.75,1,Overnight,0.0,20.75
1130,75,Female,Yes,Smartphone,SKU1004,2,Completed,Debit Card,4747.14,791.19,6,Express,46.92,4794.06
1132,18,Female,Yes,Smartphone,SKU1001,5,Completed,Cash,124.5,20.75,6,Standard,48.93,173.43
1133,25,Male,No,Laptop,SKU1005,3,Completed,Cash,1391.88,463.96,3,Express,39.14,1431.0200000000002
1133,25,Male,Yes,Smartwatch,SKU1003,3,Completed,Debit Card,6758.64,844.83,8,Standard,81.34,6839.9800000000005
1134,23,Male,Yes,Smartphone,SKU1004,2,Completed,PayPal,6329.52,791.19,8,Express,68.66,6398.18
1134,23,Male,No,Laptop,SKU1005,3,Completed,Debit Card,927.92,463.96,2,Overnight,43.76,971.68
1134,23,Male,No,Laptop,SKU1005,3,Cancelled,Debit Card,3711.68,463.96,8,Express,102.64,3814.3199999999997
1134,23,Male,No,Smartphone,SKU1004,2,Completed,PayPal,7120.71,791.19,9,Standard,0.0,7120.71
1136,20,Female,No,Smartwatch,SKU1003,3,Completed,Credit Card,844.83,844.83,1,Overnight,41.06,885.8900000000001
1139,56,Female,No,Smartphone,SKU1004,2,Cancelled,Debit Card,6329.52,791.19,8,Overnight,46.71,6376.2300000000005
1141,61,Male,No,Smartphone,SKU1001,5,Completed,PayPal,20.75,20.75,1,Express,11.92,32.67
1141,61,Male,No,Laptop,SKU1005,3,Completed,Credit Card,1391.88,463.96,3,Standard,42.12,1434.0
1141,61,Male,No,Laptop,SKU1005,3,Completed,Debit Card,3711.68,463.96,8,Standard,60.23,3771.91
1142,63,Female,No,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,Standard,33.15,4208.79
1143,27,Female,No,Smartwatch,SKU1003,3,Completed,Cash,3379.32,844.83,4,Express,0.0,3379.32
1144,42,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,844.83,844.83,1,Overnight,89.92,934.75
1145,75,Female,No,Smartphone,SKU1001,5,Completed,Cash,83.0,20.75,4,Overnight,16.42,99.42
1145,75,Female,No,Smartphone,SKU1001,5,Completed,PayPal,62.25,20.75,3,Express,23.28,85.53
1145,75,Female,No,Smartwatch,SKU1003,3,Cancelled,Debit Card,5068.98,844.83,6,Express,12.0,5080.98
1147,24,Male,Yes,Smartwatch,SKU1003,3,Completed,Cash,8448.3,844.83,10,Overnight,85.51,8533.81
1148,77,Female,Yes,Tablet,SKU1002,3,Completed,Cash,2470.3,247.03,10,Standard,0.0,2470.3
1148,77,Female,No,Laptop,SKU1005,3,Cancelled,Credit Card,927.92,463.96,2,Standard,0.0,927.92
1148,77,Female,No,Smartphone,SKU1004,2,Completed,PayPal,3955.95,791.19,5,Standard,102.68,4058.6299999999997
1149,60,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,3379.32,844.83,4,Overnight,46.83,3426.15
1149,60,Male,No,Smartphone,SKU1001,5,Cancelled,PayPal,103.75,20.75,5,Express,35.49,139.24
1149,60,Male,Yes,Smartphone,SKU1001,5,Completed,Credit Card,83.0,20.75,4,Express,90.09,173.09
1150,21,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,5538.33,791.19,7,Express,35.65,5573.98
1151,19,Female,No,Tablet,SKU1002,3,Completed,PayPal,1235.15,247.03,5,Express,76.73,1311.88
1151,19,Female,No,Smartphone,SKU1001,5,Cancelled,Cash,166.0,20.75,8,Express,0.0,166.0
1152,45,Female,No,Smartphone,SKU1001,5,Completed,Cash,124.5,20.75,6,Express,66.83,191.32999999999998
1154,70,Female,No,Laptop,SKU1005,3,Completed,Credit Card,463.96,463.96,1,Overnight,0.0,463.96
1155,29,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,5913.81,844.83,7,Express,72.69,5986.5
1155,29,Male,No,Smartphone,SKU1004,2,Completed,Cash,3955.95,791.19,5,Express,14.41,3970.3599999999997
1160,22,Female,Yes,Smartphone,SKU1001,5,Cancelled,Debit Card,83.0,20.75,4,Express,57.28,140.28
1162,20,Male,No,Smartwatch,SKU1003,3,Cancelled,PayPal,3379.32,844.83,4,Overnight,57.06,3436.38
1167,66,Female,Yes,Smartphone,SKU1001,5,Completed,PayPal,124.5,20.75,6,Express,61.43,185.93
1168,54,Female,No,Laptop,SKU1005,3,Cancelled,PayPal,1391.88,463.96,3,Overnight,0.0,1391.88
1169,57,Female,No,Smartphone,SKU1004,2,Cancelled,Credit Card,5538.33,791.19,7,Overnight,0.0,5538.33
1169,57,Female,Yes,Laptop,SKU1005,3,Cancelled,Credit Card,2783.76,463.96,6,Overnight,54.39,2838.15
1170,54,Male,No,Smartphone,SKU1004,2,Completed,Credit Card,5538.33,791.19,7,Overnight,76.57,5614.9
1171,50,Male,Yes,Laptop,SKU1005,3,Completed,Debit Card,3247.72,463.96,7,Standard,97.1,3344.8199999999997
1171,50,Male,No,Laptop,SKU1005,3,Completed,Credit Card,4175.64,463.96,9,Overnight,52.57,4228.21
1171,50,Male,No,Tablet,SKU1002,3,Completed,Cash,988.12,247.03,4,Standard,89.46,1077.58
1171,50,Male,No,Tablet,SKU1002,3,Completed,PayPal,741.09,247.03,3,Overnight,0.0,741.09
1174,29,Male,Yes,Smartphone,SKU1001,5,Cancelled,Cash,62.25,20.75,3,Overnight,11.75,74.0
1174,29,Male,No,Tablet,SKU1002,3,Cancelled,Credit Card,988.12,247.03,4,Standard,95.57,1083.69
1175,62,Male,No,Smartwatch,SKU1003,3,Cancelled,PayPal,844.83,844.83,1,Standard,0.0,844.83
1175,62,Male,No,Laptop,SKU1005,3,Completed,Credit Card,3247.72,463.96,7,Express,108.15,3355.87
1177,49,Female,No,Laptop,SKU1005,3,Completed,PayPal,2783.76,463.96,6,Overnight,69.0,2852.76
1178,19,Female,No,Tablet,SKU1002,3,Cancelled,Credit Card,247.03,247.03,1,Overnight,45.32,292.35
1180,41,Female,No,Smartwatch,SKU1003,3,Completed,PayPal,7603.47,844.83,9,Express,0.0,7603.47
1181,50,Male,No,Smartphone,SKU1004,2,Completed,PayPal,3955.95,791.19,5,Standard,35.87,3991.8199999999997
1182,78,Male,Yes,Smartphone,SKU1004,2,Completed,Debit Card,3955.95,791.19,5,Standard,37.96,3993.91
1182,78,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,7911.9,791.19,10,Overnight,16.81,7928.71
1183,80,Male,No,Laptop,SKU1005,3,Cancelled,Credit Card,463.96,463.96,1,Standard,133.13,597.0899999999999
1183,80,Male,Yes,Tablet,SKU1002,3,Cancelled,PayPal,247.03,247.03,1,Standard,0.0,247.03
1184,71,Female,Yes,Laptop,SKU1005,3,Completed,Debit Card,1391.88,463.96,3,Express,90.9,1482.7800000000002
1185,49,Male,No,Smartwatch,SKU1003,3,Cancelled,Cash,2534.49,844.83,3,Express,0.0,2534.49
1186,18,Male,No,Tablet,SKU1002,3,Cancelled,Credit Card,247.03,247.03,1,Express,125.76,372.79
1187,55,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,2534.49,844.83,3,Express,0.0,2534.49
1188,52,Male,No,Smartphone,SKU1004,2,Completed,Credit Card,2373.57,791.19,3,Standard,75.39,2448.96
1188,52,Male,Yes,Tablet,SKU1002,3,Cancelled,Credit Card,1976.24,247.03,8,Standard,86.82,2063.06
1189,31,Male,No,Tablet,SKU1002,3,Completed,Credit Card,494.06,247.03,2,Express,0.0,494.06
1190,63,Female,No,Tablet,SKU1002,3,Completed,Cash,1729.21,247.03,7,Overnight,46.11,1775.32
1190,63,Female,Yes,Smartwatch,SKU1003,3,Completed,Cash,6758.64,844.83,8,Express,0.0,6758.64
1190,63,Female,No,Tablet,SKU1002,3,Completed,Cash,494.06,247.03,2,Standard,38.32,532.38
1192,60,Male,No,Smartphone,SKU1001,5,Completed,PayPal,41.5,20.75,2,Overnight,131.53,173.03
1192,60,Male,No,Smartwatch,SKU1003,3,Cancelled,Cash,5913.81,844.83,7,Standard,11.99,5925.8
1192,60,Male,No,Smartphone,SKU1001,5,Cancelled,PayPal,207.5,20.75,10,Overnight,51.93,259.43
1193,19,Female,Yes,Tablet,SKU1002,3,Completed,Credit Card,494.06,247.03,2,Express,44.39,538.45
1193,19,Female,No,Tablet,SKU1002,3,Completed,PayPal,1976.24,247.03,8,Overnight,88.37,2064.61
1194,61,Male,No,Tablet,SKU1002,3,Completed,Cash,494.06,247.03,2,Express,0.0,494.06
1195,32,Female,No,Laptop,SKU1005,3,Completed,Credit Card,3247.72,463.96,7,Overnight,0.0,3247.72
1196,77,Male,No,Laptop,SKU1005,3,Cancelled,PayPal,3711.68,463.96,8,Standard,0.0,3711.68
1196,77,Male,No,Smartphone,SKU1004,2,Completed,Cash,791.19,791.19,1,Express,0.0,791.19
1196,77,Male,No,Laptop,SKU1005,3,Completed,Debit Card,463.96,463.96,1,Express,31.26,495.21999999999997
1197,77,Female,Yes,Smartphone,SKU1001,5,Completed,Credit Card,62.25,20.75,3,Overnight,17.61,79.86
1197,77,Female,No,Smartwatch,SKU1003,3,Completed,Cash,4224.15,844.83,5,Standard,36.12,4260.2699999999995
1197,77,Female,No,Laptop,SKU1005,3,Cancelled,Cash,4175.64,463.96,9,Express,0.0,4175.64
1199,60,Female,Yes,Tablet,SKU1002,3,Completed,Debit Card,1482.18,247.03,6,Express,22.07,1504.25
1203,43,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,4747.14,791.19,6,Standard,23.52,4770.660000000001
1203,43,Male,No,Laptop,SKU1005,3,Completed,Credit Card,2319.8,463.96,5,Standard,22.29,2342.09
1205,74,Male,No,Tablet,SKU1002,3,Completed,Debit Card,1729.21,247.03,7,Standard,0.0,1729.21
1208,62,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,844.83,844.83,1,Standard,0.0,844.83
1210,24,Female,No,Smartwatch,SKU1003,3,Completed,PayPal,8448.3,844.83,10,Standard,0.0,8448.3
1210,24,Female,No,Tablet,SKU1002,3,Cancelled,Debit Card,741.09,247.03,3,Overnight,31.5,772.59
1211,24,Male,Yes,Smartphone,SKU1001,5,Completed,Cash,62.25,20.75,3,Standard,25.55,87.8
1211,24,Male,No,Tablet,SKU1002,3,Completed,Debit Card,2223.27,247.03,9,Overnight,83.33,2306.6
1211,24,Male,No,Smartwatch,SKU1003,3,Completed,Cash,844.83,844.83,1,Standard,0.0,844.83
1212,79,Female,Yes,Smartwatch,SKU1003,3,Cancelled,PayPal,6758.64,844.83,8,Overnight,45.67,6804.31
1215,47,Male,No,Smartwatch,SKU1003,3,Cancelled,PayPal,7603.47,844.83,9,Standard,33.58,7637.05
1215,47,Male,No,Smartphone,SKU1004,2,Cancelled,PayPal,7120.71,791.19,9,Overnight,121.35,7242.06
1216,35,Female,Yes,Smartphone,SKU1004,2,Completed,Cash,2373.57,791.19,3,Express,60.11,2433.6800000000003
1217,43,Female,No,Smartphone,SKU1001,5,Completed,PayPal,103.75,20.75,5,Express,45.61,149.36
1217,43,Female,Yes,Smartphone,SKU1001,5,Completed,Cash,186.75,20.75,9,Express,0.0,186.75
1217,43,Female,No,Smartwatch,SKU1003,3,Completed,Cash,6758.64,844.83,8,Overnight,35.86,6794.5
1217,43,Female,Yes,Smartphone,SKU1001,5,Completed,Cash,207.5,20.75,10,Express,112.77,320.27
1218,48,Female,No,Smartwatch,SKU1003,3,Cancelled,Debit Card,2534.49,844.83,3,Overnight,39.54,2574.0299999999997
1220,72,Male,No,Smartwatch,SKU1003,3,Cancelled,Credit Card,8448.3,844.83,10,Standard,64.55,8512.849999999999
1220,72,Male,Yes,Smartphone,SKU1001,5,Completed,Cash,186.75,20.75,9,Overnight,56.39,243.14
1222,32,Male,No,Smartwatch,SKU1003,3,Completed,Credit Card,8448.3,844.83,10,Standard,71.08,8519.38
1223,53,Male,No,Smartphone,SKU1001,5,Completed,Cash,166.0,20.75,8,Standard,0.0,166.0
1224,63,Female,No,Smartphone,SKU1004,2,Cancelled,Cash,3955.95,791.19,5,Standard,30.03,3985.98
